FID,id,tunnus,kadunnimi,puistonnimi,paatyyppi,suomenknimi,suku,laji,kokoluokka,istutusvuosi,datanomistaja,paivitetty_tietopalveluun,geom
Puurekisteri_piste.10437,10437,K-4156,VELLAMONKATU,,Katu,RAUDUSKOIVU,Betula,pendula,70 cm -,,Helsinki/MAKA,2026-02-27,POINT (24.966512626525557 60.1954600832138)
Puurekisteri_piste.10438,10438,P-43001-210,,LAIVASTOPUISTO,Puisto,VUORIJALAVA,Ulmus,glabra,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.977539738695963 60.16903434509785)
Puurekisteri_piste.10439,10439,P-43067-158,,TERVASAARI,Puisto,RAUDUSKOIVU,Betula,pendula,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.969951321266795 60.174003742784485)
Puurekisteri_piste.10441,10441,P-42005-942,,KAIVOPUISTO,Puisto,LEPPÄ,Alnus,sp.,50 - 70 cm,,Helsinki/MAKA,2026-02-27,POINT (24.954448474831747 60.157855375905335)
Puurekisteri_piste.10442,10442,P-42005-943,,KAIVOPUISTO,Puisto,PUISTOLEHMUS,Tilia,x vulgaris,70 cm -,,Helsinki/MAKA,2026-02-27,POINT (24.954730703448384 60.15785122328364)
Puurekisteri_piste.10825,10825,P-53003-115,,TULLISAAREN KARTANO,Puisto,METSÄMÄNTY,Pinus,sylvestris,50 - 70 cm,,Helsinki/MAKA,2026-02-27,POINT (25.03355440692744 60.17763732993411)
Puurekisteri_piste.10826,10826,P-53003-116,,TULLISAAREN KARTANO,Puisto,RAUDUSKOIVU,Betula,pendula,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (25.03347012761542 60.1776625290566)
Puurekisteri_piste.10827,10827,P-44017-177,,KATRI VALAN PUISTO,Puisto,METSÄVAAHTERA,Acer,platanoides,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.964830522383135 60.18565279263699)
Puurekisteri_piste.10828,10828,P-34019-87,,ALPPIPUISTO (ETELÄ),Puisto,KOTIPIHLAJA,Sorbus,aucuparia,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.940846902193467 60.18664585048825)
Puurekisteri_piste.10831,10831,P-34019-90,,ALPPIPUISTO (ETELÄ),Puisto,RAUDUSKOIVU,Betula,pendula,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.94089331920856 60.186561061743596)
Puurekisteri_piste.10683,10683,P-44017-201,,KATRI VALAN PUISTO,Puisto,METSÄVAAHTERA,Acer,platanoides,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.96380954235159 60.18567941524197)
Puurekisteri_piste.10684,10684,P-44017-202,,KATRI VALAN PUISTO,Puisto,METSÄVAAHTERA,Acer,platanoides,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.963870713695556 60.18566786022258)
